game_key	id	en	zh_new	notes
all	9066860	The Techpriests did have a more accessible base camp in the jungle highlands.	技術神甫確實在叢林高地有一處更易抵達的基地營地。	2026-05-17 13:45 JST main chat Techpriest/Hab Spire cleanup
all	9066869	I have determined the location of the Techpriests' astronomic array and uploaded it onto the planetary map display.	我已確定技術神甫天文陣列的位置，並將其上傳到行星地圖顯示。	2026-05-17 13:45 JST main chat Techpriest/Hab Spire cleanup
all	9106742	The Hive Tyrant is the vital link between the Hive Fleet in space and the organisms on the planet's surface.  Eliminating the Tyrant will leave the Tyranid forces in disarray for a time, compelling them to withdraw.	蟲巢暴君是太空中的蟲巢艦隊與星球表面生物之間的關鍵連結。消滅暴君會讓泰倫蟲族部隊暫時陷入混亂，迫使它們撤退。	2026-05-17 13:45 JST main chat Techpriest/Hab Spire cleanup
all	9109265	The data you recovered from the astronomic array has allowed you to locate massive Tyranid ship controlling the Hive Fleet. You are a major step closer to victory.	你從天文陣列回收的數據，讓你找到了控制蟲巢艦隊的巨大泰倫蟲族艦船。你距離勝利又近了一大步。	2026-05-17 13:45 JST main chat Techpriest/Hab Spire cleanup
all	9123942	Until after the Tyranids, when Kyras contacted me again. 	直到泰倫蟲族之後，凱拉斯再次聯繫了我。	2026-05-17 13:45 JST main chat Techpriest/Hab Spire cleanup
all	9105829	During the First Pacification of Hab Spire Legis, the Blood Ravens found evidence of a debased cult among the corrupt political machine of the ruling caste on Meridian. During the week-long engagement, the spire's Administratum complex was breached and evidence found of links to the Ruinous Powers. For their valor and aid, the governor awarded the chapter the planet’s standard.	在第一次平定萊吉斯居住尖塔期間，血鴉在梅里迪安統治階層腐敗的政治機器中發現了墮落教派的證據。長達一週的交戰中，尖塔的行政部建築群被攻破，並發現其與毀滅之力有關。為表彰戰團的英勇與援助，總督將星球戰旗授予戰團。	2026-05-17 13:45 JST main chat Techpriest/Hab Spire cleanup
all	9107472	During the First Purification of Hab Spire Legis on Meridian, a young boy felled a large ganger with a simple laspistol just as the criminal was readying an ambush on a Blood Raven. Stray shots scarred the Space Marine's armor, which still bears those marks as a reminder of the simple child's courage.	在梅里迪安萊吉斯居住尖塔第一次淨化期間，一名年輕男孩用一把簡陋激光手槍擊倒了一名高大幫派分子，當時那名罪犯正準備伏擊一名血鴉。流彈在星際戰士裝甲上留下傷痕，而這些痕跡至今仍提醒著人們那個普通孩子的勇氣。	2026-05-17 13:45 JST main chat Techpriest/Hab Spire cleanup
all	9109252	The Ork Gorwazza and his band are headed straight for the Techpriest base camp on Mt. Siccaris. If the Techpriests are killed, you may never locate the Astronomic Array.	獸人戈瓦札和他的戰幫正直奔西卡里斯山的技術神甫大本營。如果技術神甫被殺，你可能永遠無法找到天文陣列。	2026-05-17 13:45 JST main chat Techpriest/Hab Spire cleanup
all	9109258	Mek Blitzzagga revealed that Rippa-Splitta's chief lieutenant is an Ork named Deff Driva. He is now your lead in the search for the astronomic array and finding a weakness in the Hive Fleet.	技霸布利札嘎透露，裂砍的首席副官是一名叫死駕的獸人。如今他是你尋找天文陣列、找出蟲巢艦隊弱點的線索。	2026-05-17 13:45 JST main chat Techpriest/Hab Spire cleanup
retribution	9143255	ADVISE: External containment bay breach.  Xenos presence confirmed.  Relocate cargo immediately.	建議：外部收容艙破損。確認有異族存在。立即轉移貨物。	2026-05-17 13:45 JST main chat Techpriest/Hab Spire cleanup
dow2	9066860	The Techpriests did have a more accessible base camp in the jungle highlands.	技術神甫確實在叢林高地有一處更易抵達的基地營地。	2026-05-17 13:45 JST main chat Techpriest/Hab Spire cleanup
dow2	9066869	I have determined the location of the Techpriests' astronomic array and uploaded it onto the planetary map display.	我已確定技術神甫天文陣列的位置，並將其上傳到行星地圖顯示。	2026-05-17 13:45 JST main chat Techpriest/Hab Spire cleanup
dow2	9106742	The Hive Tyrant is the vital link between the Hive Fleet in space and the organisms on the planet's surface.  Eliminating the Tyrant will leave the Tyranid forces in disarray for a time, compelling them to withdraw.	蟲巢暴君是太空中的蟲巢艦隊與星球表面生物之間的關鍵連結。消滅暴君會讓泰倫蟲族部隊暫時陷入混亂，迫使它們撤退。	2026-05-17 13:45 JST main chat Techpriest/Hab Spire cleanup
dow2	9109265	The data you recovered from the astronomic array has allowed you to locate massive Tyranid ship controlling the Hive Fleet. You are a major step closer to victory.	你從天文陣列回收的數據，讓你找到了控制蟲巢艦隊的巨大泰倫蟲族艦船。你距離勝利又近了一大步。	2026-05-17 13:45 JST main chat Techpriest/Hab Spire cleanup
dow2	9123942	Until after the Tyranids, when Kyras contacted me again. 	直到泰倫蟲族之後，凱拉斯再次聯繫了我。	2026-05-17 13:45 JST main chat Techpriest/Hab Spire cleanup
