game_key	id	en	zh_new	notes
all	9047227	The xenos have summoned their daemonic Avatar, a towering warrior of flame.	異族召喚了他們惡魔般的凱恩化身，一名高聳的火焰戰士。	2026-05-17 13:18 JST main chat xenos/Tyranid readable cleanup
all	9047824	This place teems with Tyranid vermin.	這地方擠滿了泰倫害獸。	2026-05-17 13:18 JST main chat xenos/Tyranid readable cleanup
all	9054702	The planetary capital of Calderis, this rugged town has suffered under the predations of both bandits and xenos.	卡德利斯的行星首府，這座粗獷城鎮長期遭受強盜與異族掠奪。	2026-05-17 13:18 JST main chat xenos/Tyranid readable cleanup
all	9058356	Make your way to the rendezvous point for extraction. Beware - the hive is awakening	前往會合點撤離。小心，蟲巢正在甦醒。	2026-05-17 13:18 JST main chat xenos/Tyranid readable cleanup
all	9058888	And our lasguns will take care of any that get through.	任何漏網之敵，都由我們的激光槍解決。	2026-05-17 13:18 JST main chat xenos/Tyranid readable cleanup
all	9066796	You must gather a bio-toxin sample from a primary Tyranid hive.	你必須從一座主要泰倫蟲巢收集生物毒素樣本。	2026-05-17 13:18 JST main chat xenos/Tyranid readable cleanup
all	9066858	Perhaps these artifacts were quarantined for the populace's protection. 	也許這些神器是為保護民眾而被隔離。	2026-05-17 13:18 JST main chat xenos/Tyranid readable cleanup
all	9066859	Or the nobles in the governor's palace have a stake in this black market. 	或者總督宮裡的貴族在這個黑市中有份。	2026-05-17 13:18 JST main chat xenos/Tyranid readable cleanup
all	9067462	Highly aggressive worm-like creatures are appearing in wilderness areas.	高度侵略性的蠕蟲狀生物正在荒野區域出現。	2026-05-17 13:18 JST main chat xenos/Tyranid readable cleanup
all	9067518	The numerous magma vents are raising the planet's temperature. This is sparking the growth of yet more plants for the hive to consume. 	大量岩漿噴口正在提高行星溫度，進一步刺激更多供蟲巢吞噬的植物生長。	2026-05-17 13:18 JST main chat xenos/Tyranid readable cleanup
all	9068129	The Tyrant is dead. It will not build another hive, just yet.	暴君死了。至少暫時它不會再建造另一座蟲巢。	2026-05-17 13:18 JST main chat xenos/Tyranid readable cleanup
all	9068135	A brood of the aliens have infested this region and must be driven back.	一個泰倫孵群已侵染此區域，必須被擊退。	2026-05-17 13:18 JST main chat xenos/Tyranid readable cleanup
all	9068147	Our Librarians feel the might of the Hive Mind channeled into the Tyrant, so expect it to be a powerful opponent.	我們的智庫感受到蟲巢意志的力量被引導進暴君體內，所以預計它會是強大的對手。	2026-05-17 13:18 JST main chat xenos/Tyranid readable cleanup
