game_key	id	en	zh_new	notes
all	9032039	Tyranids	泰倫蟲族	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
all	9046725	Destroy this alien walker, and recover the location of the astronomic array. 	摧毀這台異族步行機，並取回天文陣列的位置。	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
all	9047450	And all this time you might have been killing Tyranids.	而這段時間裡，你本可以去獵殺泰倫蟲族。	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
all	9047658	Commander, a massive Tyranid beast is on the rampage.	指揮官，一頭巨大的泰倫野獸正在橫衝直撞。	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
all	9047703	Even the alien hive cannot replace such a great beast instantly.	即使泰倫蟲巢也無法立刻替換如此巨大的野獸。	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
all	9047760	Commander, the Tyranid invasion has begun.	指揮官，泰倫蟲族入侵已經開始。	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
all	9047793	More Tyranids! Open fire!	更多泰倫蟲族！開火！	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
all	9051292	The citizens those Orks were threatening would disagree with that assessment.	那些受到獸人威脅的平民會不同意這個判斷。	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
all	9051294	Our duty is to halt the hive, not to coddle every mewling child across the sub-sector.	我們的職責是阻止蟲巢，而不是嬌慣這個次星區裡每個哭哭啼啼的孩子。	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
retribution	9032039	Tyranids	泰倫蟲族	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
dow2	9046725	Destroy this alien walker, and recover the location of the astronomic array. 	摧毀這台異族步行機，並取回天文陣列的位置。	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
dow2	9047450	And all this time you might have been killing Tyranids.	而這段時間裡，你本可以去獵殺泰倫蟲族。	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
dow2	9047658	Commander, a massive Tyranid beast is on the rampage.	指揮官，一頭巨大的泰倫野獸正在橫衝直撞。	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
dow2	9047703	Even the alien hive cannot replace such a great beast instantly.	即使泰倫蟲巢也無法立刻替換如此巨大的野獸。	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
dow2	9047760	Commander, the Tyranid invasion has begun.	指揮官，泰倫蟲族入侵已經開始。	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
dow2	9047793	More Tyranids! Open fire!	更多泰倫蟲族！開火！	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
dow2	9051292	The citizens those Orks were threatening would disagree with that assessment.	那些受到獸人威脅的平民會不同意這個判斷。	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
dow2	9051294	Our duty is to halt the hive, not to coddle every mewling child across the sub-sector.	我們的職責是阻止蟲巢，而不是嬌慣這個次星區裡每個哭哭啼啼的孩子。	2026-05-17 13:35 JST main chat Tyranid leftover readable cleanup
