game_key	id	en	zh_new	notes
all	9053269	Prayer of the Righteous	正義祈禱	2026-05-17 13:35 JST main chat wargear/lore readable cleanup
all	9067557	Messages of celebration and prayers of thanks are heard throughout the hab spires. . 	慶祝訊息與感恩祈禱迴盪在居住尖塔各處。	2026-05-17 13:35 JST main chat wargear/lore readable cleanup
all	9105317	In service during the 3rd Company's battles against the Alpha Legion on Tartarus and the 2nd Company's assault on the Deimos Peninsula on Kronus, this heavy bolter is reputed to spit out the Blood Ravens' hatred of treason.	這挺重型爆彈槍曾在第三連於塔爾塔羅斯對抗阿爾法軍團、以及第二連突擊克羅努斯戴莫斯半島時服役。據說它吐出的每一發爆彈，都承載著血鴉對背叛的憎恨。	2026-05-17 13:35 JST main chat wargear/lore readable cleanup
all	9105331	The product of Forge World Gryphonne IV, this ancient artifact has been awarded to several chapters over the millennia. The Salamander held it the longest but surrendered it as part of a ritual tournament before the third Armageddon War.	這件古老神器出自格里芬 IV 鑄造世界，數千年來曾被授予多個戰團。火蜥蜴持有它最久，但在第三次阿米吉多頓戰爭前的一場儀式比武中將其交出。	2026-05-17 13:35 JST main chat wargear/lore readable cleanup
all	9105332	This battle standard celebrates two famous Blood Raven victories – the victory against the traitor legions on Kronus, and the victory against the Ork Archmarauder Boargurr on Tranthios III.	這面戰旗紀念血鴉兩場著名勝利：在克羅努斯擊敗叛徒軍團，以及在特蘭西奧斯三號擊敗獸人大掠奪者博格爾。	2026-05-17 13:35 JST main chat wargear/lore readable cleanup
all	9105841	Recovered from the fighting near the capital city of Kronus, and bearing the seal of that planet, this Bolter was found amongst the carnage wrought as the Imperial Guard defied the Emperor’s finest Space Marines and were put to death. Many prayers of sanctity and rituals of absolution have purified this mighty weapon, but those who fought against their own kind are loathe to recall that black day.	這把爆彈槍在克羅努斯首都附近的戰鬥中被尋回，槍身帶有該星球的印記。它曾置身於一場慘烈屠殺：星界軍違抗帝皇最精銳的星際戰士，最終被處決。大量聖潔祈禱與赦罪儀式已淨化這把強大武器，但曾與同胞交戰的人仍不願回想那黑暗的一日。	2026-05-17 13:35 JST main chat wargear/lore readable cleanup
all	9106512	The foul warrior of Chaos laughed as he threw an entire pack of grenades into the path of Captain Trius. The mocking laughter died in the air as Trius strode through the explosion without pause, cleaving the heretic in two before pausing to address any potential battle damage and offering a prayer to the machine spirit of his armor.	污穢的混沌戰士將整包手榴彈丟向特里烏斯連長的去路時放聲大笑。當特里烏斯毫不停步地穿過爆炸、將異端一劈為二後，那嘲弄笑聲便戛然而止。隨後他才停下檢查可能的戰損，並向裝甲中的機魂獻上祈禱。	2026-05-17 13:35 JST main chat wargear/lore readable cleanup
all	9106560	This thunder hammer and storm shield were released from the chapter armories for the first time in millennia after the Blood Ravens' defeat of Tau forces in the Kiwon Engagement.	血鴉在基旺交戰中擊敗鈦族部隊後，這柄雷神之鎚與風暴盾千年來首次從戰團軍械庫中取出。	2026-05-17 13:35 JST main chat wargear/lore readable cleanup
all	9106651	The battle standard of the Blood Ravens' Fourth Company celebrate that unit's most famous victories – against the Word Bearers Traitor Marines on Kronus and against the Ork Archmarauder Boargurr on Tranthios III.	血鴉第四連的戰旗紀念該部隊最著名的勝利：在克羅努斯擊敗懷言者叛徒星際戰士，以及在特蘭西奧斯三號擊敗獸人大掠奪者博格爾。	2026-05-17 13:35 JST main chat wargear/lore readable cleanup
all	9107319	"Mighty Emperor, grant the brother who wears this device your own mastery over the realm of space." -- prayer intoned over this teleportation pack upon its completion in 765.M41.	「偉大的帝皇，請賜予佩戴此裝置的兄弟以您對空間領域的支配。」-- 這是 M41.765 年此傳送背包完成時吟誦的祈禱。	2026-05-17 13:35 JST main chat wargear/lore readable cleanup
