game_key	id	en	zh_new	notes
all	9053775	How many more must we kill?	我們還要殺多少？	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9053783	Is that you… Gabriel? 	是你嗎……加百列？	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9053784	It is Thaddeus, Captain… Do you not recognize me? 	是撒迪厄斯，連長……你認不出我了嗎？	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9066856	Did she? I have heard reports of a black market in xeno artifacts in the sector.	是嗎？我聽說星區內有異族神器黑市。	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9066878	And what does the Governor think of this, Administrator Derosa?	那麼總督怎麼看，德羅莎行政官？	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9067245	Wuzzat in da sky?	天上那是啥？	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9067265	Did you have a pleasant rest, waiting for the most dramatic moment to strike?	等待最戲劇性的時刻再出手，你休息得愉快嗎？	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9068494	But shouldn't we concentrate on the most populated worlds? 	但我們不應該集中在人口最多的世界上嗎？	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9113179	New orders?	新命令？	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9113711	Do you wish to surrender and end the match?	你確定要投降並結束比賽嗎？	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9115672	Act IV - Is It Worth It?	第四幕：值得嗎？	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9119753	"What do we know about this facility?"	「我們對這座設施了解多少？」	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9119754	"What about defenses?"	「防禦呢？」	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9120987	Priam to Command - We require tactical aid and fire support.	普里阿姆呼叫指揮部，我們需要戰術援助和火力支援。	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9132423	Chance when the Doppelganger is hit by a melee attack to trigger a reactive Doomblast. Greater Sorcery and Master Sorcery traits enhance this effect.	惡魔幽靈遭近戰攻擊命中時，有機會觸發反應式「末日爆破」。「高等巫術」與「熟練巫術」專長可強化此效果。	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9134603	Look at all dem headz wud ya	看到這些混帳的頭了沒？	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9142194	You twiggy fing! You fink you can zog an ork's krooza an walk away!? 	你這瘦竹竿！你以為炸了獸人的巡洋艦還能走得掉？！	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9143312	Sounds like?  Sounds like?  That is Kyras, Inquisitor, there is no doubt!	像？就只是像？那無庸置疑就是凱拉斯，審判官！	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9143951	And why should any of this concern you? I am familiar with your ways.	你為什麼要關心這些？我很清楚你的行事方式。	2026-05-17 12:55 JST main chat visible punctuation cleanup
all	9059712	Is the Captain aboard, Techmarine?	連長在艦上嗎，技術軍士？	2026-05-17 12:58 JST main chat visible punctuation cleanup
