game_key	id	en	zh_new	notes
all	9021902	Elena is on the Battle Barge Sword of Redemption in orbit around the planet and will contact you with intel as it is found.	埃琳娜位於行星軌道上的戰鬥駁船「救贖之劍」號，發現情報後會與你聯絡。	2026-05-17 14:00 JST main chat Elena briefing cleanup
all	9021908	Elena is on the Battle Barge Sword of Redemption in orbit around the planet and will contact you with intel as it is found.	埃琳娜位於行星軌道上的戰鬥駁船「救贖之劍」號，發現情報後會與你聯絡。	2026-05-17 14:00 JST main chat Elena briefing cleanup
all	9021914	Elena is on the Battle Barge Sword of Redemption in orbit around the planet and will contact you with intel as it is found.	埃琳娜位於行星軌道上的戰鬥駁船「救贖之劍」號，發現情報後會與你聯絡。	2026-05-17 14:00 JST main chat Elena briefing cleanup
all	9025187	My name is Elena of the Battle Barge Sword of Redemption.	我是戰鬥駁船「救贖之劍」號上的埃琳娜。	2026-05-17 14:00 JST main chat Elena briefing cleanup
all	9025192	My name is Elena of the Battle Barge Sword of Redemption.	我是戰鬥駁船「救贖之劍」號上的埃琳娜。	2026-05-17 14:00 JST main chat Elena briefing cleanup
all	9025197	My name is Elena of the Battle Barge Sword of Redemption.	我是戰鬥駁船「救贖之劍」號上的埃琳娜。	2026-05-17 14:00 JST main chat Elena briefing cleanup
all	9025202	My name is Elena of the Battle Barge Sword of Redemption.	我是戰鬥駁船「救贖之劍」號上的埃琳娜。	2026-05-17 14:00 JST main chat Elena briefing cleanup
all	9025207	My name is Elena of the Battle Barge Sword of Redemption.	我是戰鬥駁船「救贖之劍」號上的埃琳娜。	2026-05-17 14:00 JST main chat Elena briefing cleanup
all	9025212	My name is Elena of the Battle Barge Sword of Redemption.	我是戰鬥駁船「救贖之劍」號上的埃琳娜。	2026-05-17 14:00 JST main chat Elena briefing cleanup
all	9061208	My name is Elena Derosa and Governor Vandis has assigned me to be your liaison while in system.	我叫埃琳娜·德羅莎，范迪斯總督指派我在本星系擔任你的聯絡官。	2026-05-17 14:00 JST main chat Elena briefing cleanup
all	9066874	Commander, Elena Derosa here.	指揮官，這裡是埃琳娜·德羅莎。	2026-05-17 14:00 JST main chat Elena briefing cleanup
all	9123008	Attention: This is Governor Elena Derosa.	注意，這裡是埃琳娜·德羅莎總督。	2026-05-17 14:00 JST main chat Elena briefing cleanup
all	9131161	The plazas and gardens leading to the sector governor's palace remain fortified and battle-scarred. Governor Elena Derosa has refused to prioritize their repair over other areas.	通往星區總督官邸的廣場與庭園仍設有防禦工事，滿目戰痕。埃琳娜·德羅莎總督拒絕讓這些區域的修復優先於其他地區。	2026-05-17 14:00 JST main chat Elena briefing cleanup
all	9132515	Elena Derosa, once Vandis's adjutant, exposed his cowardice and seized power herself, providing critical aid to the Blood Ravens.	埃琳娜·德羅莎曾是范迪斯的副官。她揭露了范迪斯的怯懦，親自掌握權力，並向血鴉提供了至關重要的援助。	2026-05-17 14:00 JST main chat Elena briefing cleanup
